baby,dclm-1.0,,,,,,
baby,hplt-3.0,spa_Latn,,,,,
baby,hplt-3.0,srp_Cyrl,,,,,
baby,hplt-3.0,swe_Latn,,,,,
baby,hplt-3.0,tur_Latn,,,,,
baby,hplt-3.0,ukr_Cyrl,,,,,
baby,megamath-0.0.0,megamath-text-code-block,,,,,
baby,megamath-0.0.0,megamath-web-pro,,,,,
baby,nemotron-cc-1.0,high/actual,,,,,
baby,nemotron-cc-1.0,medium/actual,,,,,
baby,nemotron-cc-1.0,medium-high/actual,,,,,
baby,nemotron-cc-opus-1.1,bos_Latn,,,,,
baby,nemotron-cc-opus-1.1,bul_Cyrl,,,,,
baby,nemotron-cc-opus-1.1,cat_Latn,,,,,
baby,nemotron-cc-opus-1.1,ces_Latn,,,,,
baby,nemotron-cc-opus-1.1,ell_Grek,,,,,
baby,nemotron-cc-opus-1.1,est_Latn,,,,,
baby,nemotron-cc-opus-1.1,eus_Latn,,,,,
baby,nemotron-cc-opus-1.1,gle_Latn,,,,,
baby,nemotron-cc-opus-1.1,glg_Latn,,,,,
baby,nemotron-cc-opus-1.1,hrv_Latn,,,,,
baby,nemotron-cc-opus-1.1,lav_Latn,,,,,
baby,nemotron-cc-opus-1.1,lit_Latn,,,,,
baby,nemotron-cc-opus-1.1,mkd_Cyrl,,,,,
baby,nemotron-cc-opus-1.1,mlt_Latn,,,,,
baby,nemotron-cc-opus-1.1,slk_Latn,,,,,
baby,nemotron-cc-opus-1.1,slv_Latn,,,,,
baby,nemotron-cc-opus-1.1,sqi_Latn,,,,,
baby,nemotron-cc-opus-1.1,srp_Cyrl,,,,,
baby,nemotron-cc-opus-1.1,tur_Latn,,,,,
baby,nemotron-cc-tower+-0.1,parallel/tower72b/deu_Latn,,,,,
baby,nemotron-cc-tower+-0.1,parallel/tower72b/fin_Latn,,,,,
baby,nemotron-cc-tower+-0.1,parallel/tower72b/ita_Latn,,,,,
baby,nemotron-cc-tower+-0.1,parallel/tower72b/spa_Latn,,,,,
baby,nemotron-cc-tower+-0.1,parallel/tower72b/swe_Latn,,,,,
baby,nemotron-cc-tower+-0.1,parallel/tower9b/dan_Latn,,,,,
baby,nemotron-cc-tower+-0.1,parallel/tower9b/fra_Latn,,,,,
baby,nemotron-cc-tower+-0.1,parallel/tower9b/hun_Latn,,,,,
baby,nemotron-cc-tower+-0.1,parallel/tower9b/isl_Latn,,,,,
baby,nemotron-cc-tower+-0.1,parallel/tower9b/nld_Latn,,,,,
baby,nemotron-cc-tower+-0.1,parallel/tower9b/nno_Latn,,,,,
baby,nemotron-cc-tower+-0.1,parallel/tower9b/nob_Latn,,,,,
baby,nemotron-cc-tower+-0.1,parallel/tower9b/pol_Latn,,,,,
baby,nemotron-cc-tower+-0.1,parallel/tower9b/por_Latn,,,,,
baby,nemotron-cc-tower+-0.1,parallel/tower9b/ron_Latn,,,,,
baby,nemotron-cc-tower+-0.1,parallel/tower9b/ukr_Cyrl,,,,,
baby,olmo-mix-1124,arxiv,,,,,
baby,olmo-mix-1124,pes2o,,,,,
baby,olmo-mix-1124,wiki,,,,,
baby,starcoder-0.0.0,,,,,,
flag,agenttrove-0.0,data,,,,,
flag,common-pile-stackv2-0.1,documents,,,,,
flag,common-pile-stackv2-edu-0.1,documents,,,,,
flag,dclm-1.0,,,,,,
flag,dochplt-3.1,bos_Latn-eng_Latn,,,,,
flag,dochplt-3.1,bul_Cyrl-eng_Latn,,,,,
flag,dochplt-3.1,cat_Latn-eng_Latn,,,,,
flag,dochplt-3.1,ces_Latn-eng_Latn,,,,,
flag,dochplt-3.1,dan_Latn-eng_Latn,,,,,
flag,dochplt-3.1,ell_Grek-eng_Latn,,,,,
flag,dochplt-3.1,eng_Latn-est_Latn,,,,,
flag,dochplt-3.1,eng_Latn-eus_Latn,,,,,
flag,dochplt-3.1,eng_Latn-fin_Latn,,,,,
flag,dochplt-3.1,eng_Latn-gle_Latn,,,,,
flag,dochplt-3.1,eng_Latn-glg_Latn,,,,,
flag,dochplt-3.1,eng_Latn-hrv_Latn,,,,,
flag,dochplt-3.1,eng_Latn-hun_Latn,,,,,
flag,dochplt-3.1,eng_Latn-isl_Latn,,,,,
flag,dochplt-3.1,eng_Latn-lav_Latn,,,,,
flag,dochplt-3.1,eng_Latn-lit_Latn,,,,,
flag,dochplt-3.1,eng_Latn-mkd_Cyrl,,,,,
flag,dochplt-3.1,eng_Latn-mlt_Latn,,,,,
flag,dochplt-3.1,eng_Latn-nno_Latn,,,,,
flag,dochplt-3.1,eng_Latn-nob_Latn,,,,,
flag,dochplt-3.1,eng_Latn-ron_Latn,,,,,
flag,dochplt-3.1,eng_Latn-slk_Latn,,,,,
flag,dochplt-3.1,eng_Latn-slv_Latn,,,,,
flag,dochplt-3.1,eng_Latn-sqi_Latn,,,,,
flag,dochplt-3.1,eng_Latn-srp_Cyrl,,,,,
flag,dochplt-3.1,eng_Latn-tur_Latn,,,,,
flag,dochplt-3.1,eng_Latn-ukr_Cyrl,,,,,
flag,dolmino-mix-100b-1125,ingredient2-cranecode,,,,,
flag,dolmino-mix-100b-1125,ingredient2-cranemath,,,,,
flag,dolmino-mix-100b-1125,ingredient2-dolmino-math,,,,,
flag,dolmino-mix-100b-1125,ingredient2-megamatt,,,,,
flag,dolmino-mix-100b-1125,ingredient2-omr-rewrite-fullthoughts,,,,,
flag,dolmino-mix-100b-1125,ingredient2-program_verifiable,,,,,
flag,dolmino-mix-100b-1125,ingredient2-stack_edu-fim,,,,,
flag,dolmino-mix-100b-1125,ingredient2-tinymath-mind,,,,,
flag,finemath-0.0.0,finemath-3plus,,,,,
flag,fineopus-filtered-0.4,eng_Latn-als_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-bul_Cyrl,,,,,
flag,fineopus-filtered-0.4,eng_Latn-cat_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-ces_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-dan_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-deu_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-ekk_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-ell_Grek,,,,,
flag,fineopus-filtered-0.4,eng_Latn-est_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-eus_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-fin_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-fra_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-gle_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-glg_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-hrv_Latn,,,,,
flag,fineopus-filtered-0.4,eng_Latn-hun_Latn,,,,,
