run,step,score
baby_9b_dense_anneal100b_dominant1,955200,-0.7266027140340373
baby_9b_dense_anneal100b_dominant1,957600,-0.25525033489942883
baby_9b_dense_anneal100b_dominant1,960000,0.3354533447885376
baby_9b_dense_anneal100b_dominant1,962400,0.3056489092692297
baby_9b_dense_anneal100b_dominant1,964800,0.5918972573775736
baby_9b_dense_anneal100b_dominant1,965232,0.5586393353005755
baby_9b_dense_anneal100b_dominant2,955200,-0.8893901737579536
baby_9b_dense_anneal100b_dominant2,957600,0.19692103566832117
baby_9b_dense_anneal100b_dominant2,960000,0.4557130846241351
baby_9b_dense_anneal100b_dominant2,962400,0.43066681063508155
baby_9b_dense_anneal100b_dominant2,964800,0.6055687563433269
baby_9b_dense_anneal100b_dominant2,965232,0.6941257268865441
baby_9b_dense_anneal100b_dominant3,955200,-0.9868681617964287
baby_9b_dense_anneal100b_dominant3,957600,-0.7708275427517545
baby_9b_dense_anneal100b_dominant3,960000,-0.3526397341762122
baby_9b_dense_anneal100b_dominant3,962400,0.22905878360978724
baby_9b_dense_anneal100b_dominant3,964800,0.36927005163828824
baby_9b_dense_anneal100b_dominant3,965232,0.36060059397050187
baby_9b_dense_anneal100b_multilingual1,955200,-0.937758464608163
baby_9b_dense_anneal100b_multilingual1,957600,-0.34772302045937836
baby_9b_dense_anneal100b_multilingual1,960000,0.01791817913319781
baby_9b_dense_anneal100b_multilingual1,962400,0.33190956002876526
baby_9b_dense_anneal100b_multilingual1,964800,0.628466534409718
baby_9b_dense_anneal100b_multilingual1,965232,0.7197033088411828
baby_9b_dense_anneal100b_multilingual2,955200,-0.8709499957236188
baby_9b_dense_anneal100b_multilingual2,957600,-0.1292939984928907
baby_9b_dense_anneal100b_multilingual2,960000,-0.1348103252683126
baby_9b_dense_anneal100b_multilingual2,962400,0.16712315595617513
baby_9b_dense_anneal100b_multilingual2,964800,0.4412022719489919
baby_9b_dense_anneal100b_multilingual2,965232,0.39072426454986037
baby_9b_dense_anneal100b_multilingual3,955200,-0.9513660971707719
baby_9b_dense_anneal100b_multilingual3,957600,-0.4293172285940162
baby_9b_dense_anneal100b_multilingual3,960000,-0.005862120585686026
baby_9b_dense_anneal100b_multilingual3,962400,0.3666376135969268
baby_9b_dense_anneal100b_multilingual3,964800,0.3061789480473494
baby_9b_dense_anneal100b_multilingual3,965232,0.49838059194899426
baby_9b_dense_anneal100b_no-change,955200,-0.584360879219637
baby_9b_dense_anneal100b_no-change,957600,-0.33587386261448865
baby_9b_dense_anneal100b_no-change,960000,0.20669698026744024
baby_9b_dense_anneal100b_no-change,962400,0.19776393679702872
baby_9b_dense_anneal100b_no-change,964800,0.47118844236723295
baby_9b_dense_anneal100b_no-change,965232,0.43426890922606753
baby_9b_dense_before-annealing,953312,-1.602831733077941
